Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
VIFI11,Fundo de Fundos,"6,96","30,26","0,87","0,07","1,01 %","0,00 %","0,00 %","6,01 %","0,00 %","0,00 %","0,50 %","3,00 %","-7,57 %","-6,64 %","5,15 %","64.507.809,24","7,97","0,87","0,88 %","-9,94 %","-9,15 %","-72,22 %",14,"19,45",5.521,N/A,"0,95 % a.a","20,00 % a.a"
VIGT11,N/A,"37,80","582.027,43",N/A,"0,15","0,38 %","1,19 %","2,33 %","6,15 %","0,40 %","0,39 %","0,51 %","3,29 %","4,82 %","5,22 %","-26,19 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"56,45",0,N/A,"1,50 % a.a","0,00 % a.a"
VILG11,Imóveis Industriais e Logísticos,"87,89","1.644.412,67","0,78","0,72","0,86 %","2,58 %","5,03 %","10,24 %","0,86 %","0,84 %","0,85 %","7,78 %","3,25 %","4,14 %","26,48 %","1.688.867.015,14","112,61","0,78","0,64 %","0,30 %","0,94 %","7,19 %",15,"17,86",143.603,N/A,N/A,N/A
VINO11,Lajes Corporativas,"5,01","524.507,76","0,49","0,05","1,00 %","3,68 %","6,69 %","13,32 %","1,23 %","1,12 %","1,11 %","10,03 %","-1,57 %","-0,59 %","21,95 %","844.859.941,07","10,20","0,49","0,49 %","-81,37 %","-81,28 %","-80,16 %",10,"23,80",142.324,N/A,"1,10 % a.a","20,00 % a.a"
VISC11,Shoppings,"108,04","3.059.800,14","0,88","0,81","0,78 %","2,36 %","4,72 %","9,83 %","0,79 %","0,79 %","0,82 %","7,33 %","1,37 %","2,16 %","23,67 %","3.557.630.811,54","123,41","0,88","0,66 %","-0,34 %","0,31 %","15,27 %",30,"18,30",341.744,"1,05 % a.a",N/A,N/A
VIUR11,Misto,"5,59","158.062,24","0,64","0,07","1,22 %","3,66 %","7,40 %","15,28 %","1,22 %","1,23 %","1,27 %","11,46 %","1,29 %","2,53 %","17,42 %","235.443.165,38","8,74","0,64","0,77 %","-5,00 %","-4,27 %","-90,02 %",7,"22,88",45.261,N/A,"0,95 % a.a","20,00 % a.a"
VJFD11,Papéis,"155,02","3.889,59","0,95","0,82","0,00 %","0,00 %","0,98 %","3,38 %","0,00 %","0,98 %","0,28 %","2,42 %","0,00 %","0,00 %",N/A,"799.312.551,58","163,92","0,95","0,50 %","20,47 %","21,07 %","28,05 %",39,"5,32",96,N/A,N/A,N/A
VLIQ11,Indefinido,N/A,N/A,N/A,"5,04","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,8.102,N/A,N/A,N/A
VLOL11,Lajes Corporativas,"88,00","160.238,13","1,38","16,30","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","1,99 %","0,00 %","0,00 %",N/A,"118.155.565,38","111,06","0,79","0,55 %","-0,14 %","0,40 %","14,11 %",14,"9,89",8.102,N/A,N/A,N/A
VOTS11,Papéis,"73,24","6.057,73","0,80","0,68","0,00 %","1,74 %","4,19 %","10,40 %","0,58 %","0,70 %","0,87 %","7,33 %","0,00 %","0,00 %",N/A,"76.222.014,65","92,07","0,80","0,68 %","-1,31 %","-0,63 %","8,30 %",14,"43,75",567,N/A,N/A,N/A
VPPR11,Lajes Corporativas,"12,89","92.139,19","0,33","0,07","0,53 %","0,00 %","0,00 %","1,91 %","0,00 %","0,00 %","0,16 %","0,53 %","-10,74 %","-10,27 %","-10,27 %","287.399.862,53",N/A,N/A,N/A,N/A,N/A,N/A,2,"15,29",36.209,N/A,"0,95 % a.a","20,00 % a.a"
VRTA11,Papéis,"77,63","1.473.656,57","0,93","0,85","1,12 %","3,29 %","6,51 %","13,19 %","1,10 %","1,09 %","1,10 %","10,00 %","-0,67 %","0,44 %","14,92 %","1.305.681.769,85","83,74","0,93","1,02 %","-8,15 %","-7,22 %","1,18 %",14,"15,83",110.599,N/A,"1,00 % a.a",N/A
VRTM11,Misto,"6,83","308.997,05","0,74","0,09","1,31 %","3,90 %","7,89 %","16,11 %","1,30 %","1,32 %","1,34 %","12,36 %","-1,15 %","0,14 %","19,50 %","436.161.484,51",N/A,N/A,N/A,N/A,N/A,N/A,7,"15,98",11.645,N/A,"0,90 % a.a","0,20 % a.a"
VSEC11,Papéis,"0,21","2,50","0,00","2,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","138,00 %","0,00 %","0,00 %",N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,"904,16",8.102,N/A,"0,70 % a.a","20,00 % a.a"
VSHO11,Shoppings,"74,15","29.585,71","0,64","0,47","0,65 %","2,69 %","5,49 %","12,11 %","0,90 %","0,92 %","1,01 %","8,77 %","1,08 %","1,74 %","25,75 %","243.066.166,82","115,81","0,64","0,40 %","16,54 %","17,01 %","22,42 %",3,"18,74",3.127,"0,75 % a.a",N/A,N/A
VSLH11,Papéis,"2,63","109.749,00","0,26","0,03","1,09 %","3,21 %","6,97 %","14,21 %","1,07 %","1,16 %","1,18 %","10,29 %","-4,68 %","-3,64 %","-2,48 %","301.027.563,87","10,08","0,26","0,26 %","-2,98 %","-2,73 %","15,81 %",14,"19,14",67.643,N/A,"0,95 % a.a","20,00 % a.a"
VTLT11,Imóveis Industriais e Logísticos,"86,06","294.242,14","0,83","1,03","1,20 %","3,50 %","6,95 %","14,04 %","1,17 %","1,16 %","1,17 %","10,65 %","-2,07 %","-0,89 %","16,74 %","219.443.557,78","103,76","0,83","0,99 %","3,01 %","4,03 %","11,74 %",1,"15,76",5.697,"0,95 % a.a",N/A,N/A
VTPL11,Papéis,"68,50","68,00","0,67","2,60","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"141.603.591,68",N/A,N/A,N/A,N/A,N/A,N/A,2,"6,67",124,N/A,N/A,N/A
VVCO11,Lajes Corporativas,"14,73","398.079,10","1,00","11,16","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"145.547.054,59",N/A,N/A,N/A,N/A,N/A,N/A,4,"17,24",2.632,N/A,"1,20 % a.a","20,00 % a.a"
VVCR11,Papéis,"9,96","48.862,43","0,98","0,10","1,00 %","3,09 %","6,57 %","13,31 %","1,03 %","1,10 %","1,11 %","10,28 %","-0,20 %","0,80 %","27,81 %","76.617.583,84",N/A,N/A,N/A,N/A,N/A,N/A,14,"23,77",2.177,N/A,"1,15 % a.a",N/A
VVMR11,Lajes Corporativas,"84,00","272.004,24","0,79","0,20","0,24 %","0,69 %","0,85 %","2,96 %","0,69 %","0,85 %","0,25 %","1,23 %","-1,61 %","-1,37 %","-6,21 %","300.612.322,21",N/A,N/A,N/A,N/A,N/A,N/A,5,"27,70",597,N/A,N/A,N/A
VVPR11,Misto,"101,50","1.249.061,55","1,59","0,89","0,89 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,45 %","0,40 %","1,30 %","14,44 %","118.155.565,38","98,03","1,04","0,74 %","-0,10 %","0,64 %","0,09 %",14,"3,43",8.102,N/A,N/A,N/A
VVRI11,Indefinido,"86,40","1.038,75","0,93","0,75","0,87 %","1,55 %","3,39 %","8,94 %","0,52 %","0,57 %","0,75 %","5,54 %","-2,36 %","-1,51 %","-21,22 %","74.223.580,54",N/A,N/A,N/A,N/A,N/A,N/A,3,"96,85",155,N/A,N/A,N/A
VXXV11,Fundo de Desenvolvimento,"700,00","417.375,00","1,18","273,35","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"284.378.364,78",N/A,N/A,N/A,N/A,N/A,N/A,1,"3,35",19,N/A,N/A,N/A
WHGR11,Indefinido,"8,78","205.641,76","0,91","0,10","1,14 %","2,71 %","6,24 %","13,82 %","0,90 %","1,04 %","1,15 %","11,30 %","1,86 %","3,02 %","22,07 %","298.277.401,72",N/A,N/A,N/A,N/A,N/A,N/A,1,"16,03",14.170,N/A,"1,00 % a.a","20,00 % a.a"
WPLZ11,Shoppings,"49,65","7.142,38","0,74","0,37","0,74 %","4,30 %","6,30 %","10,27 %","1,43 %","1,05 %","0,86 %","8,35 %","9,86 %","10,67 %","9,51 %","77.986.960,87","66,66","0,74","1,50 %","-24,08 %","-22,94 %","-30,76 %",1,"45,60",1.567,N/A,"0,55 % a.a",N/A
WSEC11,Indefinido,"5,56","14.204,10","0,98","0,08","1,50 %","7,13 %","82,31 %","119,91 %","2,38 %","13,72 %","9,99 %","119,91 %","-24,57 %","-23,43 %","410,14 %","14.206.764,47",N/A,N/A,N/A,N/A,N/A,N/A,14,"229,94",833,N/A,"1,00 % a.a","20,00 % a.a"
WTSP11B,Misto,"36,00","3.852,00","0,68","0,05","0,09 %","0,81 %","26,17 %","27,19 %","0,81 %","4,36 %","2,27 %","0,81 %","0,00 %","0,00 %",N/A,"104.295.912,94","84,21","0,43","0,06 %","16,18 %","16,25 %","12,98 %",2,"6,67",210,N/A,N/A,N/A
XPCA11,Indefinido,"7,92","511.211,90","0,82","0,11","1,39 %","4,20 %","8,63 %","14,63 %","1,40 %","1,44 %","1,22 %","12,02 %","0,38 %","1,78 %","58,59 %","439.004.652,63","9,64","0,82","1,14 %","1,57 %","2,73 %","15,54 %",0,"20,07",95.053,N/A,"1,00 % a.a","10,00 % a.a"
XPCI11,Papéis,"82,73","2.686.193,38","0,94","0,95","1,15 %","3,60 %","7,12 %","14,05 %","1,20 %","1,19 %","1,17 %","10,74 %","2,79 %","3,97 %","29,70 %","765.777.260,35","88,00","0,94","1,09 %","-4,17 %","-3,13 %","5,44 %",14,"18,94",68.709,N/A,"1,00 % a.a",N/A
XPCM11,Lajes Corporativas,"8,21","20.672,33","0,29","0,02","0,20 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,20 %","-0,87 %","-0,67 %","-0,67 %","69.556.326,39","29,04","0,28","0,07 %","-34,13 %","-34,09 %","-44,99 %",1,"33,40",17.262,N/A,"0,80 % a.a",N/A
XPHT11,Hotéis,"123,00","230.869,59","0,66","0,41","0,93 %","2,91 %","5,33 %","10,11 %","0,97 %","0,89 %","0,84 %","10,11 %","15,85 %","16,93 %","15,37 %","581.976.733,73","63,13","1,95","0,65 %","-33,00 %","-32,56 %","-26,69 %",14,"29,85",1.268,N/A,N/A,N/A
XPID11,Indefinido,"51,52","706.914,62",N/A,"0,50","0,95 %","3,03 %","6,31 %","14,12 %","1,01 %","1,05 %","1,18 %","10,44 %","-10,67 %","-9,82 %","4,71 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"24,47",0,N/A,"0,95 % a.a",N/A
XPIE11,Indefinido,"59,41","1.323.836,81",N/A,"0,78","1,29 %","2,93 %","8,01 %","18,58 %","0,98 %","1,34 %","1,55 %","15,07 %","-0,66 %","0,63 %","28,72 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"18,30",0,N/A,"1,30 % a.a","20,00 % a.a"
XPIN11,Imóveis Industriais e Logísticos,"73,80","390.343,67","0,72","0,74","1,11 %","3,24 %","6,55 %","13,41 %","1,08 %","1,09 %","1,12 %","8,97 %","-4,63 %","-3,57 %","20,49 %","733.782.666,01","102,62","0,72","0,72 %","-1,22 %","-0,51 %","0,94 %",81,"16,70",42.519,N/A,"0,75 % a.a",N/A
XPLG11,Imóveis Industriais e Logísticos,"101,49","2.808.517,67","0,95","0,82","0,82 %","2,50 %","5,04 %","10,45 %","0,83 %","0,84 %","0,87 %","7,82 %","1,38 %","2,21 %","23,44 %","3.312.921.458,59","106,27","0,96","0,77 %","-6,72 %","-6,00 %","4,94 %",18,"15,46",336.830,"0,95 % a.a",N/A,"20,00 % a.a"
XPML11,Shoppings,"104,90","10.973.081,86","0,93","0,92","0,92 %","2,72 %","5,50 %","11,34 %","0,91 %","0,92 %","0,95 %","7,50 %","-1,45 %","-0,54 %","19,67 %","6.387.056.178,54","112,61","0,93","0,82 %","11,56 %","12,47 %","20,53 %",20,"14,90",608.916,N/A,"0,75 % a.a","20,00 % a.a"
XPPR11,Lajes Corporativas,"12,54","78.639,38","0,21","0,07","0,53 %","1,02 %","2,30 %","4,38 %","0,34 %","0,38 %","0,37 %","0,53 %","-9,03 %","-8,55 %","-8,55 %","443.953.188,51","60,68","0,21","0,12 %","-18,41 %","-18,31 %","-21,40 %",2,"21,62",42.867,N/A,N/A,N/A
XPSF11,Fundo de Fundos,"6,30","701.455,19","0,82","0,07","1,07 %","3,15 %","6,16 %","13,07 %","1,05 %","1,03 %","1,09 %","9,66 %","1,00 %","2,08 %","13,07 %","333.163.250,23","7,69","0,82","0,85 %","-7,90 %","-7,13 %","-90,29 %",14,"16,79",58.889,N/A,"1,00 % a.a","20,00 % a.a"
XTED11,Lajes Corporativas,"8,82","17.641,88","0,68","11,16",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"67.378.204,04","28,02","0,31","0,00 %","-0,36 %","-0,36 %","-3,45 %",1,"29,46",4.098,"1,00 % a.a","0,20 % a.a",N/A
YUFI11,Fundo de Desenvolvimento,"59,50","5,17","1,30","29,23","0,00 %","0,00 %","0,55 %","3,31 %","0,00 %","0,55 %","0,28 %","2,80 %","0,00 %","0,00 %",N/A,"22.604.706,09",N/A,N/A,N/A,N/A,N/A,N/A,12,"35,32",56,N/A,N/A,N/A
YUFI11B,Indefinido,N/A,N/A,N/A,"0,63","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"0,00 %","0,00 %","0,00 %",N/A,"105,53",N/A,"0,60 %","-0,01 %","0,59 %","6,32 %",0,N/A,0,N/A,N/A,N/A
ZAGH11,Serviços Financeiros Diversos,"10,04","1.493,10","1,07","0,06","0,60 %","1,76 %","3,86 %","7,18 %","0,59 %","0,64 %","0,60 %","6,03 %","1,41 %","2,02 %","-12,62 %","83.136.734,73",N/A,N/A,N/A,N/A,N/A,N/A,1,"69,34",429,N/A,"1,50 % a.a","20,00 % a.a"
ZAVC11,Indefinido,"8,98","6.473,43","0,91","0,13","0,00 %","2,94 %","7,70 %","16,30 %","0,98 %","1,28 %","1,36 %","0,00 %","0,00 %","0,00 %",N/A,"35.188.030,66",N/A,N/A,N/A,N/A,N/A,N/A,1,"98,53",476,N/A,N/A,N/A
ZAVI11,Indefinido,"87,74","38.589,24","0,65","1,10","1,27 %","3,86 %","7,67 %","15,42 %","1,29 %","1,28 %","1,29 %","11,67 %","-1,31 %","-0,06 %","4,34 %","159.042.877,86",N/A,N/A,N/A,N/A,N/A,N/A,9,"28,60",2.546,N/A,"1,25 % a.a","20,00 % a.a"
ZIFI11,Fundo de Desenvolvimento,"518,00","1.944,83","0,29","3,31","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"83.840.523,63",N/A,N/A,N/A,N/A,N/A,N/A,14,"50,69",93,N/A,N/A,N/A
