FII;Data Com;Data Pagamento;Tipo;Valor
HGIC11;04-04-24;11-04-24;Dividendos;0.66
BIME11;04-04-24;12-04-24;Dividendos;0.08
FATN11;04-04-24;12-04-24;Dividendos;0.85
FLMA11;04-04-24;12-04-24;Dividendos;0.92
FLCR11;05-04-24;12-04-24;Dividendos;1.15
GCRA11;05-04-24;12-04-24;Dividendos;0.80
OIAG11;05-04-24;12-04-24;Dividendos;0.11
RECR11;05-04-24;12-04-24;Dividendos;0.94
RECT11;05-04-24;12-04-24;Dividendos;0.36
RBRP11;05-04-24;12-04-24;Dividendos;0.35
RBRL11;05-04-24;12-04-24;Dividendos;0.65
RELG11;05-04-24;12-04-24;Dividendos;0.04
CRAA11;05-04-24;12-04-24;Dividendos;1.15
BTAG11;05-04-24;12-04-24;Dividendos;1.16
GRWA11;05-04-24;12-04-24;Dividendos;0.12
NUIF11;05-04-24;12-04-24;Dividendos;1.10
FYTO11;05-04-24;12-04-24;Dividendos;0.11
DLMT11;05-04-24;15-04-24;Dividendos;0.00
BPRP11;05-04-24;12-04-24;Dividendos;0.93
DPRO11;05-04-24;12-04-24;Dividendos;0.05
ERPA11;05-04-24;12-04-24;Dividendos;0.83
BCFF11;05-04-24;12-04-24;Dividendos;0.08
LPLP11;05-04-24;15-04-24;Dividendos;7.11
FGAA11;05-04-24;12-04-24;Dividendos;0.10
BLMG11;05-04-24;12-04-24;Dividendos;0.44
CEOC11;05-04-24;12-04-24;Dividendos;0.43
MAXR11;05-04-24;12-04-24;Dividendos;0.75
FAED11;05-04-24;12-04-24;Dividendos;1.50
SEQR11;05-04-24;12-04-24;Dividendos;0.56
BTCI11;05-04-24;12-04-24;Dividendos;0.09
DEVA11;05-04-24;12-04-24;Dividendos;0.68
DCRA11;05-04-24;12-04-24;Dividendos;0.10
HCTR11;05-04-24;12-04-24;Dividendos;0.32
NCHB11;05-04-24;12-04-24;Dividendos;0.11
NEXG11;05-04-24;12-04-24;Dividendos;0.83
RCRB11;05-04-24;15-04-24;Dividendos;0.93
CXCI11;05-04-24;12-04-24;Dividendos;0.75
RBOP11;05-04-24;15-04-24;Dividendos;2.00
WSEC11;05-04-24;12-04-24;Dividendos;0.75
AJFI11;05-04-24;19-04-24;Dividendos;0.07
AGRX11;05-04-24;12-04-24;Dividendos;0.11
DVFF11;05-04-24;12-04-24;Dividendos;0.07
SPXS11;05-04-24;12-04-24;Dividendos;0.10
BMLC11;05-04-24;12-04-24;Dividendos;0.69
VSLH11;05-04-24;12-04-24;Dividendos;0.04
BRCR11;05-04-24;12-04-24;Dividendos;0.50
FPAB11;08-04-24;15-04-24;Dividendos;0.90
CCME11;08-04-24;15-04-24;Dividendos;0.09
DRIT11;08-04-24;15-04-24;Dividendos;0.67
RVBI11;08-04-24;15-04-24;Dividendos;0.75
CPFF11;08-04-24;16-04-24;Dividendos;0.65
CLIN11;08-04-24;15-04-24;Dividendos;1.02
BLCA11;08-04-24;15-04-24;Dividendos;0.50
CVBI11;08-04-24;15-04-24;Dividendos;1.08
BRIP11;08-04-24;12-04-24;Dividendos;28.00
BLUR11;09-04-24;16-04-24;Dividendos;0.87
IRIM11;09-04-24;16-04-24;Dividendos;0.80
RBRF11;09-04-24;16-04-24;Dividendos;0.06
RBRR11;09-04-24;16-04-24;Dividendos;0.85
GAME11;09-04-24;19-04-24;Dividendos;0.09
IBCR11;09-04-24;16-04-24;Dividendos;0.90
IRDM11;09-04-24;16-04-24;Dividendos;0.80
RBRY11;09-04-24;16-04-24;Dividendos;1.00
AZIN11;10-04-24;19-04-24;Dividendos;1.45
AZIN11;10-04-24;22-05-24;Dividendos;1.45
AZIN11;10-04-24;21-06-24;Dividendos;1.45
MGHT11;10-04-24;17-04-24;Dividendos;0.51
VGIP11;10-04-24;17-04-24;Dividendos;0.88
MCCI11;10-04-24;17-04-24;Dividendos;0.80
CPTR11;10-04-24;17-04-24;Dividendos;0.10
VGIR11;10-04-24;17-04-24;Dividendos;0.10
CPTS11;10-04-24;17-04-24;Dividendos;0.08
VGIA11;10-04-24;17-04-24;Dividendos;0.11
VICA11;11-04-24;12-04-24;Dividendos;0.10
ZAGH11;11-04-24;18-04-24;Dividendos;0.50
MGRI11;11-04-24;19-04-24;Dividendos;1.39
GCRI11;11-04-24;18-04-24;Dividendos;0.95
NAVT11;11-04-24;18-04-24;Dividendos;1.25
SHDP11B;11-04-24;19-04-24;Dividendos;5.38
RECX11;12-04-24;19-04-24;Dividendos;0.70
OURE11;12-04-24;19-04-24;Dividendos;0.93
RZZR11;12-04-24;19-04-24;Dividendos;1.13
TSNC11;12-04-24;19-04-24;Dividendos;7.36
TSNC11;12-04-24;19-04-24;Dividendos;7.36
OUFF11;12-04-24;19-04-24;Dividendos;0.63
AFHI11;12-04-24;19-04-24;Dividendos;0.95
ALZM11;12-04-24;19-04-24;Dividendos;0.09
BRLA11;12-04-24;19-04-24;Dividendos;1.13
JASC11;12-04-24;19-04-24;Dividendos;0.61
RBRX11;12-04-24;22-04-24;Dividendos;0.10
RZAK11;12-04-24;19-04-24;Dividendos;1.11
RZAT11;12-04-24;19-04-24;Dividendos;1.10
WTSP11B;12-04-24;19-04-24;Dividendos;0.15
HCRI11;12-04-24;19-04-24;Dividendos;2.44
BVAR11;15-04-24;23-04-24;Dividendos;10.82
SNFF11;15-04-24;25-04-24;Dividendos;1.00
KOPA11;15-04-24;22-04-24;Dividendos;12.81
ALZC11;15-04-24;22-04-24;Dividendos;1.14
SNME11;15-04-24;25-04-24;Dividendos;0.10
SNCI11;15-04-24;25-04-24;Dividendos;0.93
SNAG11;15-04-24;25-04-24;Dividendos;0.11
MCHY11;15-04-24;22-04-24;Dividendos;0.11
SNEL11;15-04-24;25-04-24;Dividendos;1.55
SIGR11;15-04-24;22-04-24;Dividendos;1.14
TRNT11;15-04-24;19-04-24;Dividendos;0.19
CPOF11;15-04-24;22-04-24;Dividendos;0.75
DOVL11B;15-04-24;22-04-24;Dividendos;5.86
SNID11;15-04-24;25-04-24;Dividendos;1.05
BTLG11;15-04-24;25-04-24;Dividendos;0.76
MCRE11;15-04-24;22-04-24;Dividendos;0.11
BETW11;15-04-24;22-04-24;Dividendos;0.46
FTCA11;16-04-24;23-04-24;Dividendos;0.11
BMLC11;16-04-24;31-05-24;Amortização;15.00
VVCR11;16-04-24;25-04-24;Dividendos;0.08
CPSH11;16-04-24;23-04-24;Dividendos;0.10
NCRA11;16-04-24;23-04-24;Dividendos;0.11
VVRI11;16-04-24;25-04-24;Dividendos;0.80
BDIF11;16-04-24;23-04-24;Dividendos;1.00
BROF11;16-04-24;23-04-24;Dividendos;0.54
ICNE11;17-04-24;25-04-24;Dividendos;10.73
ICNE11;17-04-24;25-04-24;Amortização;39.50
BTAL11;17-04-24;24-04-24;Dividendos;0.65
ERCR11;17-04-24;24-04-24;Amortização;1.67
MMPD11;17-04-24;24-04-24;Dividendos;1.84
EQIR11;17-04-24;24-04-24;Dividendos;0.10
TJKB11;17-04-24;25-04-24;Dividendos;2.35
EXES11;17-04-24;24-04-24;Dividendos;0.06
APXM11;17-04-24;24-04-24;Dividendos;0.74
CVPR11;17-04-24;24-04-24;Dividendos;0.10
XPML11;18-04-24;25-04-24;Dividendos;0.91
FCFL11;18-04-24;25-04-24;Dividendos;0.86
ALZR11;18-04-24;25-04-24;Dividendos;0.77
BPML11;18-04-24;25-04-24;Dividendos;1.02
XPIN11;18-04-24;25-04-24;Dividendos;0.62
PNPR11;18-04-24;25-04-24;Amortização;27.47
BDIV11;19-04-24;29-04-24;Dividendos;8.00
CNES11;22-04-24;29-04-24;Dividendos;0.01
BTRA11;23-04-24;30-04-24;Dividendos;0.30
BTSI11;23-04-24;30-04-24;Dividendos;0.74
EDGA11;23-04-24;30-04-24;Dividendos;0.08
GZIT11;23-04-24;30-04-24;Dividendos;0.78
ELDO11B;24-04-24;02-05-24;Dividendos;2.40
SADI11;30-04-24;15-05-24;Dividendos;0.92
CXAG11;30-04-24;17-05-24;Dividendos;0.69
NVIF11;30-04-24;15-05-24;Dividendos;0.89
BTSG11;30-04-24;15-05-24;Dividendos;0.92
BIDB11;30-04-24;15-05-24;Dividendos;1.00
TMPS11;30-04-24;13-05-24;Dividendos;1.00
SEED11;30-04-24;15-05-24;Dividendos;0.75
SAPI11;30-04-24;15-05-24;Dividendos;0.85
PMIS11;30-04-24;15-05-24;Dividendos;0.10
LGCP11;30-04-24;15-05-24;Dividendos;0.73
PLCA11;30-04-24;15-05-24;Dividendos;0.90
BBGO11;30-04-24;15-05-24;Dividendos;0.74
VCRR11;30-04-24;15-05-24;Dividendos;0.70
JSAF11;30-04-24;15-05-24;Dividendos;1.00
WHGR11;30-04-24;15-05-24;Dividendos;0.10
CXCO11;30-04-24;15-05-24;Dividendos;0.72
BNFS11;30-04-24;15-05-24;Dividendos;1.48
PQDP11;30-04-24;20-05-24;Dividendos;11.82
EVBI11;30-04-24;08-05-24;Dividendos;0.75
SPAF11;30-04-24;08-05-24;Dividendos;7.51
LSPA11;30-04-24;15-05-24;Dividendos;13.21
CJCT11;30-04-24;15-05-24;Dividendos;0.09
ITRI11;30-04-24;13-05-24;Dividendos;0.54
CYCR11;30-04-24;15-05-24;Dividendos;0.11
BTWR11;30-04-24;15-05-24;Dividendos;0.68
JGPX11;30-04-24;14-05-24;Dividendos;1.10
JFLL11;30-04-24;15-05-24;Dividendos;0.62
RPRI11;30-04-24;14-05-24;Dividendos;1.05
KCRE11;30-04-24;14-05-24;Dividendos;1.16
HLOG11;30-04-24;15-05-24;Dividendos;0.46
KNSC11;30-04-24;14-05-24;Dividendos;0.09
HAAA11;30-04-24;15-05-24;Dividendos;0.12
HCHG11;30-04-24;15-05-24;Dividendos;0.70
HPDP11;30-04-24;15-05-24;Dividendos;0.53
NVHO11;30-04-24;09-05-24;Dividendos;0.09
RFOF11;30-04-24;15-05-24;Dividendos;0.74
KNCA11;30-04-24;14-05-24;Dividendos;1.11
HREC11;30-04-24;15-05-24;Dividendos;0.08
OCRE11;30-04-24;08-05-24;Dividendos;1.02
AIEC11;30-04-24;09-05-24;Dividendos;0.71
IFRA11;30-04-24;08-05-24;Dividendos;1.12
CPTI11;30-04-24;15-05-24;Dividendos;1.10
XPID11;30-04-24;15-05-24;Dividendos;0.85
KDIF11;30-04-24;08-05-24;Dividendos;1.05
VCJR11;30-04-24;14-05-24;Dividendos;1.20
OGIN11;30-04-24;08-05-24;Dividendos;0.13
VCRA11;30-04-24;14-05-24;Dividendos;1.00
HSLG11;30-04-24;15-05-24;Dividendos;0.74
HBCR11;30-04-24;15-05-24;Dividendos;0.48
PNRC11;30-04-24;15-05-24;Dividendos;2.60
PNPR11;30-04-24;15-05-24;Dividendos;1.23
PNPR11;30-04-24;15-05-24;Amortização;1.77
PMLL11;30-04-24;15-05-24;Dividendos;0.90
ANCR11B;30-04-24;22-05-24;Dividendos;38.90
VVMR11;30-04-24;15-05-24;Dividendos;0.50
ROOF11;30-04-24;15-05-24;Amortização;6.45
HGBL11;30-04-24;15-05-24;Dividendos;0.17
IAAG11;30-04-24;15-05-24;Dividendos;0.10
BRIM11;30-04-24;15-05-24;Dividendos;37.26
KEVE11;30-04-24;15-05-24;Amortização;16.93
BBFI11;30-04-24;15-05-24;Dividendos;87.57
CXCE11;30-04-24;15-05-24;Dividendos;0.40
INLG11;30-04-24;15-05-24;Dividendos;0.73
INRD11;30-04-24;15-05-24;Dividendos;0.56
PNCR11;30-04-24;15-05-24;Dividendos;0.94
CPUR11;30-04-24;08-05-24;Dividendos;0.75
FIIP11;30-04-24;15-05-24;Dividendos;1.44
VPPR11;30-04-24;15-05-24;Dividendos;0.07
PULV11;30-04-24;15-05-24;Dividendos;0.13
ZAVC11;30-04-24;15-05-24;Dividendos;0.08
BTML11;30-04-24;15-05-24;Dividendos;0.80
IDFI11;30-04-24;08-05-24;Amortização;0.24
ARXD11;30-04-24;15-05-24;Dividendos;1.00
IAGR11;30-04-24;15-05-24;Dividendos;0.03
FIIP11B;30-04-24;15-05-24;Dividendos;1.44
LASC11;30-04-24;08-05-24;Dividendos;0.67
EDFO11B;30-04-24;10-05-24;Dividendos;1.76
BBFI11B;30-04-24;15-05-24;Dividendos;87.57
BLMO11;30-04-24;15-05-24;Dividendos;0.44
AAZQ11;30-04-24;15-05-24;Dividendos;0.11
XPCA11;30-04-24;15-05-24;Dividendos;0.10
RZAG11;30-04-24;15-05-24;Dividendos;0.11
PQAG11;30-04-24;15-05-24;Dividendos;0.46
NEWL11;30-04-24;15-05-24;Dividendos;0.95
LSAG11;30-04-24;15-05-24;Dividendos;1.10
MFCR11;30-04-24;15-05-24;Dividendos;0.26
BODB11;30-04-24;08-05-24;Amortização;0.03
BODB11;30-04-24;08-05-24;Dividendos;0.07
FINF11;30-04-24;15-05-24;Dividendos;0.31
PICE11;30-04-24;08-05-24;Amortização;0.25
ICRI11;30-04-24;13-05-24;Dividendos;0.99
XPIE11;30-04-24;09-05-24;Dividendos;0.10
BRZP11;30-04-24;09-05-24;Amortização;0.47
APTO11;30-04-24;21-05-24;Dividendos;0.09
BICE11;30-04-24;08-05-24;Dividendos;7.40
TSER11;30-04-24;15-05-24;Dividendos;0.96
VRTM11;30-04-24;15-05-24;Dividendos;0.10
HSRE11;30-04-24;15-05-24;Dividendos;0.73
HGLG11;30-04-24;15-05-24;Dividendos;1.10
TVRI11;30-04-24;15-05-24;Dividendos;0.97
VILG11;30-04-24;15-05-24;Dividendos;0.60
VISC11;30-04-24;15-05-24;Dividendos;1.00
HGBS11;30-04-24;15-05-24;Dividendos;1.75
XPLG11;30-04-24;15-05-24;Dividendos;0.78
MXRF11;30-04-24;15-05-24;Dividendos;0.10
KNHF11;30-04-24;13-05-24;Dividendos;0.90
ZAVI11;30-04-24;15-05-24;Dividendos;1.18
KORE11;30-04-24;15-05-24;Dividendos;1.25
KNUQ11;30-04-24;13-05-24;Dividendos;1.15
CACR11;30-04-24;09-05-24;Dividendos;1.39
BCRI11;30-04-24;15-05-24;Dividendos;0.80
HSML11;30-04-24;08-05-24;Dividendos;0.80
RBVA11;30-04-24;08-05-24;Dividendos;1.00
LVBI11;30-04-24;08-05-24;Dividendos;0.90
XPSF11;30-04-24;15-05-24;Dividendos;0.08
GLOG11;30-04-24;15-05-24;Dividendos;0.50
SPTW11;30-04-24;08-05-24;Dividendos;0.42
VIUR11;30-04-24;15-05-24;Dividendos;0.07
PORD11;30-04-24;08-05-24;Dividendos;0.09
VIFI11;30-04-24;15-05-24;Dividendos;0.08
BPFF11;30-04-24;08-05-24;Dividendos;0.62
URPR11;30-04-24;15-05-24;Dividendos;1.10
RZTR11;30-04-24;08-05-24;Dividendos;0.90
PVBI11;30-04-24;08-05-24;Dividendos;0.65
KNHY11;30-04-24;14-05-24;Dividendos;1.16
GTWR11;30-04-24;15-05-24;Dividendos;0.79
VGHF11;30-04-24;08-05-24;Dividendos;0.09
SARE11;30-04-24;15-05-24;Dividendos;0.36
HABT11;30-04-24;12-05-24;Dividendos;1.13
HUSI11;30-04-24;15-05-24;Dividendos;8.20
CXCE11B;30-04-24;15-05-24;Dividendos;0.40
RMAI11;30-04-24;10-05-24;Dividendos;0.45
RBHY11;30-04-24;15-05-24;Dividendos;1.02
RBHG11;30-04-24;15-05-24;Dividendos;0.95
FIIB11;30-04-24;10-05-24;Dividendos;3.45
EURO11;30-04-24;15-05-24;Dividendos;1.88
DOMC11;30-04-24;10-05-24;Dividendos;0.45
CXTL11;30-04-24;15-05-24;Dividendos;1.58
MFII11;30-04-24;15-05-24;Dividendos;1.21
CDII11;30-04-24;15-05-24;Dividendos;1.13
JURO11;30-04-24;15-05-24;Dividendos;1.25
JBFO11;30-04-24;15-05-24;Dividendos;0.52
MFAI11;30-04-24;15-05-24;Dividendos;0.45
VPSI11;30-04-24;08-05-24;Dividendos;0.19
GARE11;30-04-24;08-05-24;Dividendos;0.09
TRXF11;30-04-24;15-05-24;Dividendos;0.90
XPCI11;30-04-24;15-05-24;Dividendos;0.90
XPPR11;30-04-24;15-05-24;Dividendos;0.07
TRBL11;30-04-24;15-05-24;Dividendos;0.85
VINO11;30-04-24;15-05-24;Dividendos;0.07
JSRE11;30-04-24;15-05-24;Dividendos;0.48
MALL11;30-04-24;15-05-24;Dividendos;0.90
BCIA11;30-04-24;29-05-24;Dividendos;0.87
BBIM11;30-04-24;15-05-24;Dividendos;0.01
BBFO11;30-04-24;15-05-24;Dividendos;0.66
KFOF11;30-04-24;15-05-24;Dividendos;0.80
VGRI11;30-04-24;08-05-24;Dividendos;0.15
HGRU11;30-04-24;15-05-24;Dividendos;0.85
VSHO11;30-04-24;09-05-24;Dividendos;0.55
WPLZ11;30-04-24;15-05-24;Dividendos;0.41
HSAF11;30-04-24;08-05-24;Dividendos;1.05
RBRD11;30-04-24;15-05-24;Dividendos;0.38
PLCR11;30-04-24;15-05-24;Dividendos;0.80
HTMX11;30-04-24;08-05-24;Dividendos;2.19
FLRP11;30-04-24;15-05-24;Dividendos;14.00
STRX11;30-04-24;08-05-24;Dividendos;0.82
TEPP11;30-04-24;15-05-24;Dividendos;1.05
RNGO11;30-04-24;15-05-24;Dividendos;0.38
SHPH11;30-04-24;08-05-24;Dividendos;4.30
NSLU11;30-04-24;08-05-24;Dividendos;1.60
PATC11;30-04-24;09-05-24;Dividendos;0.10
BBRC11;30-04-24;15-05-24;Dividendos;1.10
IDFI11;30-04-24;08-05-24;Dividendos;0.18
LIFE11;30-04-24;08-05-24;Dividendos;0.12
HFOF11;30-04-24;15-05-24;Dividendos;0.63
VTLT11;30-04-24;09-05-24;Dividendos;0.93
TGAR11;30-04-24;15-05-24;Dividendos;1.34
PATL11;30-04-24;09-05-24;Dividendos;0.60
KNIP11;30-04-24;14-05-24;Dividendos;1.05
KNCR11;30-04-24;14-05-24;Dividendos;1.00
ABCP11;30-04-24;08-05-24;Dividendos;0.47
KNRI11;30-04-24;15-05-24;Dividendos;1.00
HGFF11;30-04-24;15-05-24;Dividendos;0.70
HGAG11;30-04-24;08-05-24;Dividendos;0.16
HGCR11;30-04-24;15-05-24;Dividendos;0.95
RURA11;30-04-24;08-05-24;Dividendos;0.12
VOTS11;30-04-24;15-05-24;Dividendos;0.85
HUSC11;30-04-24;15-05-24;Dividendos;0.85
RNDP11;30-04-24;15-05-24;Dividendos;0.57
CBOP11;30-04-24;15-05-24;Dividendos;0.12
OUJP11;30-04-24;15-05-24;Dividendos;0.91
ARRI11;30-04-24;08-05-24;Dividendos;0.10
PEMA11;30-04-24;15-05-24;Dividendos;0.36
VCRI11;30-04-24;15-05-24;Dividendos;0.10
JPPA11;30-04-24;15-05-24;Dividendos;1.00
KISU11;30-04-24;15-05-24;Dividendos;0.08
HGPO11;30-04-24;15-05-24;Dividendos;1.50
BARI11;30-04-24;22-05-24;Dividendos;0.89
RBFF11;30-04-24;15-05-24;Dividendos;0.51
RBED11;30-04-24;15-05-24;Dividendos;1.33
BRCO11;30-04-24;15-05-24;Dividendos;0.87
VRTA11;30-04-24;15-05-24;Dividendos;0.90
NEWU11;30-04-24;15-05-24;Dividendos;0.10
AROA11;30-04-24;08-05-24;Dividendos;0.01
LUGG11;30-04-24;15-05-24;Dividendos;0.56
MANA11;30-04-24;22-05-24;Dividendos;0.11
ITIT11;30-04-24;15-05-24;Dividendos;0.61
ITIP11;30-04-24;15-05-24;Dividendos;0.75
HOSI11;30-04-24;08-05-24;Dividendos;0.59
TRXB11;30-04-24;15-05-24;Dividendos;0.95
BICR11;30-04-24;15-05-24;Dividendos;0.41
RRCI11;30-04-24;15-05-24;Dividendos;0.85
RBVO11;30-04-24;09-05-24;Dividendos;0.35
FIGS11;30-04-24;15-05-24;Dividendos;0.43
FVPQ11;30-04-24;09-05-24;Dividendos;0.60
KIVO11;30-04-24;15-05-24;Dividendos;1.05
HGRE11;30-04-24;15-05-24;Dividendos;0.78
CXRI11;02-05-24;13-05-24;Dividendos;0.59
HGBL11;02-05-24;15-05-24;Dividendos;0.17
ELDO11B;02-05-24;10-05-24;Dividendos;0.60
YUFI11;02-05-24;15-05-24;Dividendos;0.16
GGRC11;02-05-24;09-05-24;Dividendos;0.09
QAGR11;02-05-24;09-05-24;Dividendos;0.44
RBLG11;02-05-24;09-05-24;Dividendos;0.95
CRFF11;02-05-24;13-05-24;Dividendos;0.62
EGAF11;03-05-24;10-05-24;Dividendos;1.20
LFTT11;03-05-24;14-05-24;Amortização;7.31
PNCR11;03-05-24;10-05-24;Amortização;2.90
RBIF11;06-05-24;21-05-24;Dividendos;1.40
LPLP11;06-05-24;15-05-24;Dividendos;11.37
BTHI11;06-05-24;15-05-24;Dividendos;0.37
BIPD11;07-05-24;15-05-24;Dividendos;73.07
RTEL11;07-05-24;14-05-24;Dividendos;2.94
FATN11;07-05-24;15-05-24;Dividendos;0.85
RCRB11;07-05-24;15-05-24;Dividendos;0.93
RBOP11;07-05-24;15-05-24;Dividendos;2.00
NCRI11;07-05-24;15-05-24;Dividendos;0.09
DLMT11;07-05-24;15-05-24;Dividendos;0.00
BIME11;07-05-24;15-05-24;Dividendos;0.08
FISC11;07-05-24;15-05-24;Dividendos;0.21
HGIC11;07-05-24;14-05-24;Dividendos;1.00
FLMA11;07-05-24;15-05-24;Dividendos;1.07
DCRA11;08-05-24;15-05-24;Dividendos;0.10
FPAB11;08-05-24;15-05-24;Dividendos;0.65
DRIT11;08-05-24;15-05-24;Dividendos;2.26
RECR11;08-05-24;15-05-24;Dividendos;1.29
WSEC11;08-05-24;15-05-24;Dividendos;0.87
SEQR11;08-05-24;15-05-24;Dividendos;0.56
SPXS11;08-05-24;15-05-24;Dividendos;0.10
VSLH11;08-05-24;15-05-24;Dividendos;0.04
FGAA11;08-05-24;15-05-24;Dividendos;0.11
BTAG11;08-05-24;15-05-24;Dividendos;1.16
GRWA11;08-05-24;15-05-24;Dividendos;0.11
NEXG11;08-05-24;15-05-24;Dividendos;0.96
NUIF11;08-05-24;15-05-24;Dividendos;1.10
BLOG11;08-05-24;21-05-24;Dividendos;0.12
MGRI11;08-05-24;15-05-24;Dividendos;1.55
GCRA11;08-05-24;15-05-24;Dividendos;0.75
FYTO11;08-05-24;15-05-24;Dividendos;0.11
CRAA11;08-05-24;15-05-24;Dividendos;1.15
AGRX11;08-05-24;15-05-24;Dividendos;0.13
AJFI11;08-05-24;22-05-24;Dividendos;0.07
NCHB11;08-05-24;15-05-24;Dividendos;0.11
BPRP11;08-05-24;15-05-24;Dividendos;0.93
DEVA11;08-05-24;15-05-24;Dividendos;0.65
BRCR11;08-05-24;15-05-24;Dividendos;0.50
ERPA11;08-05-24;15-05-24;Dividendos;0.83
RBRL11;08-05-24;15-05-24;Dividendos;0.65
FLCR11;08-05-24;15-05-24;Dividendos;1.15
BLMG11;08-05-24;15-05-24;Dividendos;0.45
BCFF11;08-05-24;15-05-24;Dividendos;0.07
RBRP11;08-05-24;15-05-24;Dividendos;0.66
RELG11;08-05-24;15-05-24;Dividendos;0.03
RECT11;08-05-24;15-05-24;Dividendos;0.37
OIAG11;08-05-24;15-05-24;Dividendos;0.10
BMLC11;08-05-24;15-05-24;Dividendos;0.76
MAXR11;08-05-24;15-05-24;Dividendos;0.75
BRIP11;08-05-24;15-05-24;Dividendos;75.95
BTCI11;08-05-24;15-05-24;Dividendos;0.09
HCTR11;08-05-24;15-05-24;Dividendos;0.38
FAED11;08-05-24;15-05-24;Dividendos;1.55
DVFF11;08-05-24;15-05-24;Dividendos;0.07
DPRO11;08-05-24;15-05-24;Dividendos;0.05
CXCI11;08-05-24;15-05-24;Dividendos;0.75
CEOC11;08-05-24;15-05-24;Dividendos;0.41
RVBI11;09-05-24;16-05-24;Dividendos;0.75
CCME11;09-05-24;16-05-24;Dividendos;0.09
CVBI11;09-05-24;16-05-24;Dividendos;1.11
CLIN11;09-05-24;16-05-24;Dividendos;1.00
CPFF11;09-05-24;17-05-24;Dividendos;0.65
BLCA11;09-05-24;16-05-24;Dividendos;0.50
BLUR11;10-05-24;17-05-24;Dividendos;0.87
RBRY11;10-05-24;17-05-24;Dividendos;0.95
IRDM11;10-05-24;17-05-24;Dividendos;0.81
GAME11;10-05-24;22-05-24;Dividendos;0.09
RBRR11;10-05-24;17-05-24;Dividendos;0.85
IBCR11;10-05-24;17-05-24;Dividendos;0.90
SHDP11B;10-05-24;20-05-24;Dividendos;6.85
IRIM11;10-05-24;17-05-24;Dividendos;0.88
RBRF11;10-05-24;17-05-24;Dividendos;0.06
ELDO11B;13-05-24;20-05-24;Dividendos;7.00
MGHT11;13-05-24;20-05-24;Dividendos;0.33
RZZR11;13-05-24;20-05-24;Dividendos;1.14
HCRI11;13-05-24;20-05-24;Dividendos;2.40
CPTR11;13-05-24;20-05-24;Dividendos;0.10
CPTS11;13-05-24;20-05-24;Dividendos;0.08
BRLA11;13-05-24;20-05-24;Dividendos;1.14
VGIP11;13-05-24;20-05-24;Dividendos;1.08
MCCI11;13-05-24;20-05-24;Dividendos;0.80
VGIA11;13-05-24;20-05-24;Dividendos;0.10
TRNT11;13-05-24;20-05-24;Dividendos;0.19
VGIR11;13-05-24;20-05-24;Dividendos;0.11
DOVL11B;13-05-24;20-05-24;Dividendos;5.90
BDIF11;14-05-24;21-05-24;Dividendos;1.00
ZAGH11;14-05-24;21-05-24;Dividendos;0.50
VICA11;14-05-24;15-05-24;Dividendos;0.10
RINV11;14-05-24;21-05-24;Dividendos;1.25
GCRI11;14-05-24;21-05-24;Dividendos;0.90
NAVT11;14-05-24;21-05-24;Dividendos;1.25
OURE11;15-05-24;22-05-24;Dividendos;0.93
WTSP11B;15-05-24;22-05-24;Dividendos;0.30
JASC11;15-05-24;22-05-24;Dividendos;0.61
BVAR11;15-05-24;23-05-24;Dividendos;5.56
RZAK11;15-05-24;22-05-24;Dividendos;1.05
RZAT11;15-05-24;22-05-24;Dividendos;1.05
AFHI11;15-05-24;22-05-24;Dividendos;0.95
AZIN11;15-05-24;22-05-24;Dividendos;1.00
TSNC11;15-05-24;22-05-24;Dividendos;7.36
SNAG11;15-05-24;24-05-24;Dividendos;0.11
KOPA11;15-05-24;22-05-24;Dividendos;12.57
RBRX11;15-05-24;23-05-24;Dividendos;0.11
RECX11;15-05-24;22-05-24;Dividendos;0.60
SNID11;15-05-24;24-05-24;Dividendos;1.05
BTLG11;15-05-24;24-05-24;Dividendos;0.76
ALZM11;15-05-24;22-05-24;Dividendos;0.09
OUFF11;15-05-24;22-05-24;Dividendos;0.63
SNME11;15-05-24;24-05-24;Dividendos;0.11
SNEL11;15-05-24;22-05-24;Dividendos;1.55
SNCI11;15-05-24;24-05-24;Dividendos;0.90
SNFF11;15-05-24;24-05-24;Dividendos;1.00
BETW11;16-05-24;23-05-24;Dividendos;0.46
MCHY11;16-05-24;23-05-24;Dividendos;0.11
MCRE11;16-05-24;23-05-24;Dividendos;0.11
BRIP11;16-05-24;29-05-24;Amortização;55.70
ALZC11;16-05-24;23-05-24;Dividendos;1.24
CPOF11;16-05-24;23-05-24;Dividendos;0.75
FTCA11;17-05-24;24-05-24;Dividendos;0.10
ICNE11;17-05-24;27-05-24;Amortização;36.42
ICNE11;17-05-24;27-05-24;Dividendos;22.75
TJKB11;17-05-24;27-05-24;Dividendos;2.36
ERCR11;17-05-24;24-05-24;Amortização;1.87
CPSH11;17-05-24;24-05-24;Dividendos;0.10
XPIN11;17-05-24;24-05-24;Dividendos;0.62
XPML11;17-05-24;24-05-24;Dividendos;0.92
VVCR11;17-05-24;24-05-24;Dividendos;0.08
NCRA11;17-05-24;24-05-24;Dividendos;0.10
VVRI11;17-05-24;24-05-24;Dividendos;0.80
BPML11;17-05-24;24-05-24;Dividendos;1.00
BROF11;17-05-24;24-05-24;Dividendos;0.54
